Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M463T2483,0.00000,0.00033,0.93574,44.90039,"[0.0002829365591354991, 0.0003708483164724999]",0.98532,-0.00000,0.93574,40.32675,"[-1.9955743917082824e-08, 1.959435123974197e-08]",0.61462,-0.00000,0.93621,36.69300,Produit
M463T2620,0.38577,0.00000,0.75970,9.74802,"[-4.531102841369001e-06, 1.1456659477830804e-05]",0.86087,0.00000,0.75991,8.76495,"[-3.2818807375334924e-09, 3.907681281894732e-09]",0.35624,0.00000,0.76576,8.17284,Non classé
M464T2483,0.00000,0.00008,0.89920,27.50489,"[6.274853566468113e-05, 8.801575595185601e-05]",0.85633,-0.00000,0.89929,24.72831,"[-6.191851721983586e-09, 5.170275272702844e-09]",0.65799,-0.00000,0.89986,22.46557,Produit
M465T2482,0.00003,0.00001,0.68991,6.85997,"[8.327620165165114e-06, 2.051108802437177e-05]",0.21963,0.00000,0.70279,6.54828,"[-1.0303544518505896e-09, 4.335739863685532e-09]",0.39154,-0.00000,0.70905,6.09253,Produit
M465T1272,0.00050,0.00001,0.94886,57.20883,"[2.5890868355328436e-06, 8.45902966614849e-06]",0.04557,0.00000,0.95431,57.83329,"[2.649822730028621e-11, 2.5227646096199582e-09]",0.81571,0.00000,0.95438,52.29681,"Produit,Transitoire"
M465T2965,0.00082,0.00001,0.79286,11.80203,"[2.3721164258697215e-06, 8.310831345640815e-06]",0.26361,-0.00000,0.80003,11.07868,"[-2.0475505955281146e-09, 5.775864354732542e-10]",0.79754,-0.00000,0.80041,10.02546,Produit
M465T1166,0.00635,0.00000,0.76625,10.10740,"[1.2294715106987573e-06, 6.975333060889037e-06]",0.00326,0.00000,0.81681,12.34755,"[6.341712591051853e-10, 2.9225708195822375e-09]",0.41046,-0.00000,0.82037,11.41770,"Produit,Transitoire"
M466T1272,0.01178,0.00000,0.75833,9.67507,"[9.014363972284894e-07, 6.7589895608610795e-06]",0.00957,0.00000,0.79996,11.07418,"[4.1912501433111446e-10, 2.816658941906386e-09]",0.72137,0.00000,0.80070,10.04368,"Produit,Transitoire"
M467T1581,0.00000,0.00001,0.83084,15.14390,"[9.692999498448282e-06, 1.836860933503161e-05]",0.06583,0.00000,0.84622,15.23807,"[-1.200139563787242e-10, 3.601400467113789e-09]",0.39529,-0.00000,0.84940,14.10064,Produit
M467T3067,0.00032,0.00001,0.76342,9.94964,"[3.3277648945172827e-06, 1.0273409250419023e-05]",0.00632,0.00000,0.80823,11.67105,"[6.049251865499353e-10, 3.4182414638600138e-09]",0.58363,-0.00000,0.80989,10.65036,"Produit,Transitoire"
M467T2964,0.02618,0.00000,0.66864,6.22167,"[4.3312747945216607e-07, 6.482175921169066e-06]",0.01480,0.00000,0.71968,7.10949,"[3.283700786523409e-10, 2.8314058136254743e-09]",0.79310,0.00000,0.72024,6.43609,"Produit,Transitoire"
M468T1581,0.00164,0.00000,0.71900,7.88944,"[1.98496540436397e-06, 7.847915893965983e-06]",0.00747,0.00000,0.77029,9.28594,"[4.744301177742453e-10, 2.859272885085116e-09]",0.53784,0.00000,0.77280,8.50352,"Produit,Transitoire"
M469T510,0.00000,0.00001,0.90069,27.96523,"[7.584963077900212e-06, 1.4873636257626173e-05]",0.00386,0.00000,0.92149,32.50468,"[7.621262243988372e-10, 3.6776354347969335e-09]",0.71966,0.00000,0.92179,29.46362,"Produit,Transitoire"
M469T3108,0.00000,0.00001,0.85503,18.18519,"[4.644389431272196e-06, 1.002000731249908e-05]",0.03787,0.00000,0.87160,18.79820,"[7.155209117627278e-11, 2.3475394221498828e-09]",0.76865,-0.00000,0.87192,17.01949,"Produit,Transitoire"
M469T2046,0.00000,0.00001,0.86214,19.28167,"[1.0367458981764109e-05, 1.811880194340208e-05]",0.17625,0.00000,0.86906,18.37926,"[-5.434259967365911e-10, 2.8551246312327267e-09]",0.47839,-0.00000,0.87095,16.87249,Produit
M469T2105,0.00000,0.00001,0.92760,39.50267,"[1.1703058941737456e-05, 1.8106900463021275e-05]",0.04735,0.00000,0.93519,39.95842,"[1.703824586746422e-11, 2.742822783639446e-09]",0.84492,-0.00000,0.93526,36.11637,"Produit,Transitoire"
M470T505,0.00655,0.00000,0.65706,5.90749,"[1.3683634720229706e-06, 7.849683835838245e-06]",0.00458,0.00000,0.72653,7.35717,"[6.394573323308712e-10, 3.2432576694847e-09]",0.71093,0.00000,0.72762,6.67835,"Produit,Transitoire"
M471T1542,0.44518,0.00000,0.36223,1.75122,"[-6.231137743510143e-06, 1.389753978655856e-05]",0.37796,-0.00000,0.37604,1.66893,"[-6.449745647311621e-09, 2.507278049599301e-09]",0.59464,0.00000,0.38114,1.53969,Non classé
M471T3019,0.26211,-0.00002,0.57809,4.22467,"[-5.159290233288483e-05, 1.4465751428318719e-05]",0.00510,-0.00000,0.66169,5.41634,"[-3.287512091211282e-08, -6.26317593464478e-09]",0.63142,-0.00000,0.66394,4.93921,Non classé
M471T2263,0.00002,0.00001,0.94388,51.85881,"[3.391349701220464e-06, 8.087182427925028e-06]",0.39537,0.00000,0.94501,47.59016,"[-6.021145996191693e-10, 1.48909312256285e-09]",0.50510,-0.00000,0.94571,43.55241,Produit
M471T2083,0.00000,0.00002,0.76988,10.31520,"[1.2052401644727415e-05, 2.072091072157912e-05]",0.00221,0.00000,0.82322,12.89554,"[1.0683722253802071e-09, 4.4864585495881494e-09]",0.78722,0.00000,0.82359,11.67170,"Produit,Transitoire"
M472T3019,0.92154,0.00000,0.56398,3.98824,"[-6.634408568453376e-06, 7.317246912169489e-06]",0.09819,-0.00000,0.59630,4.09046,"[-5.547649328737646e-09, 4.918861827802702e-10]",0.98584,0.00000,0.59631,3.69283,Non classé
M472T2265,0.00900,0.00000,0.74928,9.21468,"[9.418001717258415e-07, 6.163934043668369e-06]",0.00549,0.00000,0.79822,10.95487,"[4.815775685402006e-10, 2.589212962148197e-09]",0.64596,0.00000,0.79945,9.96583,"Produit,Transitoire"
M473T1583,0.00027,0.00001,0.90179,28.31322,"[4.256013858821361e-06, 1.28749114370234e-05]",0.09207,-0.00000,0.90934,27.77515,"[-3.4524822386157663e-09, 2.731417777915314e-10]",0.13177,-0.00000,0.91511,26.95105,Produit
M473T3019,0.80434,0.00000,0.33724,1.56892,"[-1.944460237600764e-05, 2.4906119180780982e-05]",0.02200,-0.00000,0.42825,2.07424,"[-2.020354335659079e-08, -1.6713806927364008e-09]",0.74575,-0.00000,0.42999,1.88592,Non classé
M473T1171,0.02899,0.00001,0.48258,2.87569,"[9.6224842776543e-07, 1.682546151875491e-05]",0.59954,-0.00000,0.48658,2.62446,"[-4.4829487019422454e-09, 2.6260363985465426e-09]",0.47564,-0.00000,0.49410,2.44165,Produit
M473T2811,0.07272,0.00000,0.78651,11.35911,"[-3.3439792342272906e-07, 7.237480542704287e-06]",0.07160,0.00000,0.80516,11.44361,"[-1.377777929958298e-10, 3.1165067719678183e-09]",0.21333,0.00000,0.81371,10.92003,Non classé
M474T1582,0.00101,0.00001,0.72136,7.98221,"[2.2324072595586633e-06, 8.097200190070928e-06]",0.33630,0.00000,0.72852,7.43123,"[-6.764618667631308e-10, 1.9278983369382017e-09]",0.65126,0.00000,0.73012,6.76344,Produit
M474T3019,0.17296,0.00000,0.51184,3.23288,"[-1.1956647185363984e-06, 6.415334623210365e-06]",0.36751,-0.00000,0.52288,3.03479,"[-2.4542202096544144e-09, 9.309279690652419e-10]",0.95837,-0.00000,0.52291,2.74015,Non classé
M475T2962,0.00009,0.00001,0.71878,7.88094,"[3.101806034162904e-06, 8.388527071639424e-06]",0.03044,0.00000,0.75354,8.46675,"[1.235386339223346e-10, 2.3501414211092426e-09]",0.17401,-0.00000,0.76639,8.20169,"Produit,Transitoire"
M475T2097,0.00013,0.00001,0.70371,7.32315,"[4.268681038244747e-06, 1.193421346822039e-05]",0.00575,0.00000,0.76098,8.81671,"[6.941152529994328e-10, 3.791538743470558e-09]",0.79813,-0.00000,0.76144,7.97938,"Produit,Transitoire"
