Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M179T1169,0.30339,0.12586,0.99981,16322.07757,"[-0.11847375785653647, 0.37019084409907244]",0.89403,0.56324,0.99981,14666.65972,"[-7.951508685811245, 9.077990345204977]",0.48759,-84.67424,0.99981,13426.97258,Non classé
M179T1240,0.13191,-0.12180,0.99982,16872.54398,"[-0.28198424482355305, 0.03838347905145506]",0.76488,-0.14662,0.99982,15191.95170,"[-1.133380532092744, 0.8401417039479862]",0.35941,5.03112,0.99982,14052.97760,Non classé
M186T1722,0.86410,0.02537,0.99981,15867.91363,"[-0.2729387912545745, 0.32368721584508614]",0.78631,-1.10314,0.99981,14280.97066,"[-9.29424713161714, 7.0879639490245125]",0.03873,297.35267,0.99983,14592.20507,Recyclé
M187T2869,0.75996,0.02435,0.99981,15895.79024,"[-0.13596617011710885, 0.18467587404243543]",0.94348,0.03808,0.99981,14278.49036,"[-1.0437817953291069, 1.1199516085910342]",0.24551,4.75574,0.99981,13404.20190,Non classé
M187T2483,0.94523,-0.01000,0.99981,15857.23321,"[-0.3030664414031162, 0.28305855919800404]",0.70232,1.12879,0.99981,14300.56544,"[-4.813568719641991, 7.071142474379964]",0.47891,63.81900,0.99981,13099.22186,Non classé
M190T2330,0.93814,0.01123,0.99981,15857.79943,"[-0.2799646960281877, 0.3024228869831403]",0.93095,-0.29706,0.99981,14245.36072,"[-7.20158104701461, 6.607455823615577]",0.04695,196.53599,0.99983,14419.08624,Recyclé
M191T1476,0.02589,0.11073,0.99983,18164.49373,"[0.014073730563722658, 0.20739240405603662]",0.98710,-0.00758,0.99983,16314.17686,"[-0.951585637688244, 0.9364302865893305]",0.59711,3.25159,0.99983,14847.83031,Produit
M191T1169,0.07831,0.00626,0.99982,17260.44322,"[-0.0007453220018882279, 0.013271961058839123]",0.09734,0.00416,0.99983,16750.05715,"[-0.0007969472767829673, 0.009122835798748456]",0.38540,-0.00204,0.99984,15455.45094,Non classé
M191T1578,0.95160,0.00480,0.99981,15856.78374,"[-0.15440308559462365, 0.1640073747554582]",0.73431,0.08440,0.99981,14287.72444,"[-0.4160742962191747, 0.5848841305862643]",0.86090,-0.32658,0.99981,12910.12561,Non classé
M192T1169,0.01683,0.12620,0.99983,18541.79349,"[0.024067569525844226, 0.22833490711197124]",0.81709,-0.11479,0.99983,16678.03509,"[-1.113967854870212, 0.8843958421775658]",0.25742,-7.49161,0.99984,15626.85227,Produit
M193T2482,0.87217,-0.01717,0.99981,15866.43471,"[-0.23193316110982154, 0.19758622722941988]",0.12653,2.58199,0.99982,15218.74812,"[-0.7658161328929025, 5.9297929953569]",0.04199,-76.40866,0.99984,15488.77858,Non classé
