Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M329T648,0.35785,4.77041,0.91459,13.14130,"[-5.693129814289417, 15.233944079109882]",0.32285,59.58449,0.91780,12.62136,"[-61.94775256794825, 181.1167317084766]",0.55669,-707.37867,0.91895,11.81017,Non classé
M329T1191,0.23851,6.15574,0.91632,13.43919,"[-4.322584616982082, 16.634065016979378]",0.03048,170.59619,0.93035,15.10008,"[17.370205569838078, 323.8221692251401]",0.50565,-1068.52148,0.93160,14.18720,Transitoire
M331T2482,0.09490,3.38031,0.92063,14.23445,"[-0.6269100470144409, 7.387526678363672]",0.03916,-37.25394,0.93282,15.69542,"[-72.5099024228132, -1.997977285716516]",0.18137,416.64922,0.93754,15.63523,Non classé
M335T1541,0.00018,-0.57121,0.94810,22.42154,"[-0.8409557675220432, -0.30146772652405907]",0.54420,0.12006,0.94885,20.96877,"[-0.2815299324777387, 0.521655162789967]",0.19280,0.24952,0.95227,20.78139,Substrat
M335T1145,0.03004,-0.81047,0.92616,15.39416,"[-1.5365354999392848, -0.084396799371945]",0.62204,-0.70077,0.92686,14.32605,"[-3.588001363287947, 2.1864566801482064]",0.49399,-3.01158,0.92825,13.47560,Substrat
M335T1700,0.86252,-1.08576,0.91192,12.70599,"[-13.828391428054617, 11.65688142204044]",0.87061,16.67467,0.91201,11.71678,"[-191.68945428967075, 225.03879958444023]",0.03697,-1952.29073,0.92632,13.09661,Non classé
M336T1541,0.00004,-3.90960,0.95359,25.21585,"[-5.536920892993031, -2.2822793438364295]",0.12555,-11.62164,0.95767,25.57319,"[-26.71399002584132, 3.4707029617806686]",0.17070,59.79530,0.96079,25.52336,Substrat
M336T1145,0.02285,-5.35817,0.92747,15.69336,"[-9.912982801618424, -0.8033578419045959]",0.26876,-54.62857,0.93086,15.22062,"[-153.99328585161925, 44.73613797564614]",0.59414,-650.38846,0.93166,14.20100,Substrat
M336T1700,0.79260,1.54237,0.91205,12.72658,"[-10.375168388309962, 13.459911443891041]",0.02419,284.37927,0.92793,14.55490,"[40.177380378472094, 528.5811647746077]",0.03926,7882.12604,0.93940,16.14807,"Transitoire,Recyclé"
M336T1582,0.45065,4.81984,0.91369,12.99225,"[-8.100087764969274, 17.73977432401796]",0.01569,399.19130,0.93134,15.33404,"[81.80017292042118, 716.5824344989667]",0.66969,3521.91745,0.93185,14.24300,Transitoire
