Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M430T2961,0.81681,0.05119,0.99981,14815.44859,"[-0.3936806827217466, 0.49605462134642864]",0.11065,9.01310,0.99983,14398.94398,"[-2.1663864852381103, 20.192584957153368]",0.31535,215.83317,0.99983,13453.90060,Non classé
M431T1215,0.34713,-0.10919,0.99982,15166.05366,"[-0.3416360121314368, 0.12326331153968728]",0.22371,1.50951,0.99983,14291.89319,"[-0.9644773430160896, 3.9835029278286855]",0.23766,32.77642,0.99983,13508.74856,Non classé
M431T1463,0.50899,0.09863,0.99982,14975.94612,"[-0.20124771690832116, 0.39851405203922147]",0.32576,2.60769,0.99982,13903.75281,"[-2.7037859080644333, 7.919159889093394]",0.75599,19.02275,0.99982,12642.46159,Non classé
M433T1172,0.22990,-0.02808,0.99982,15406.13733,"[-0.07469826197875473, 0.01854575533380181]",0.32032,0.11197,0.99983,14312.25243,"[-0.1135079505821111, 0.3374440221247746]",0.57232,0.46908,0.99983,13100.53258,Non classé
M433T2450,0.70573,-0.05561,0.99981,14852.60541,"[-0.35190836877104537, 0.24069602003609858]",0.63900,-1.58558,0.99981,13494.40814,"[-8.387761049488766, 5.216591530483143]",0.12682,139.34518,0.99983,13116.54216,Non classé
M433T2855,0.05089,0.16649,0.99983,16469.78173,"[-0.0006826633555305772, 0.33365460768539523]",0.00000,1.93608,0.99991,28134.16081,"[1.2326573396479956, 2.63949925838734]",0.37339,-2.88786,0.99991,26118.79203,Transitoire
M433T2734,0.17519,0.20106,0.99982,15579.15765,"[-0.09378555733346244, 0.49590069250741203]",0.02220,2.59690,0.99985,16366.37549,"[0.3939625682582064, 4.79983071435738]",0.18883,-26.70202,0.99985,15623.74740,Transitoire
M434T1542,0.21440,0.15875,0.99982,15449.56700,"[-0.09599320727929236, 0.4134918306189779]",0.35919,-5.44260,0.99983,14291.60298,"[-17.33448848675193, 6.44929263700749]",0.58727,-102.77387,0.99983,13072.19078,Non classé
M434T1145,0.93623,0.01211,0.99981,14795.73617,"[-0.29274219288979564, 0.3169645579385242]",0.92395,0.51955,0.99981,13360.79045,"[-10.45058775664366, 11.4896961741422]",0.12675,414.88471,0.99983,12987.01026,Non classé
M434T2855,0.25162,0.23578,0.99982,15351.03621,"[-0.174617856902805, 0.6461682164700011]",0.00004,12.53555,0.99989,22662.81180,"[7.138193978859454, 17.93290628091092]",0.42301,77.22766,0.99989,20945.14679,Transitoire
M434T2734,0.45672,0.14498,0.99982,15025.71643,"[-0.24583481949755825, 0.535801537414729]",0.18649,6.00117,0.99982,14268.69590,"[-3.0403287011146087, 15.042668300550877]",0.08310,256.59540,0.99984,14150.18967,Non classé
M435T3019,0.40923,-0.00434,0.99982,15079.62388,"[-0.014867589812857246, 0.006195551911759528]",0.57929,0.00208,0.99982,13735.39476,"[-0.0054523036877843455, 0.00960250515506193]",0.26228,-0.00587,0.99982,12929.47743,Non classé
M436T3019,0.49498,-0.01823,0.99982,14988.41664,"[-0.07185880400295133, 0.035398179161856426]",0.26557,0.09465,0.99982,14026.20870,"[-0.07518205684424975, 0.2644897232147455]",0.25833,-0.54583,0.99983,13211.50405,Non classé
M437T1171,0.57537,-0.02956,0.99981,14924.41105,"[-0.1356312480405108, 0.07650165614923671]",0.30181,0.56387,0.99982,13896.31989,"[-0.5283927081666799, 1.6561277237941778]",0.30821,7.21893,0.99983,12995.96887,Non classé
M437T3018,0.39412,-0.14288,0.99982,15098.81710,"[-0.4788429463262744, 0.19308484369412765]",0.06512,4.12266,0.99983,15043.37654,"[-0.272453917928126, 8.517781153984991]",0.41183,-38.23895,0.99984,13916.32671,Non classé
M437T1477,0.25367,0.19139,0.99982,15346.13128,"[-0.1432193588127999, 0.5259985943170401]",0.67731,-2.05368,0.99982,13923.86456,"[-11.988785225967503, 7.881434606544813]",0.94650,-11.97944,0.99982,12626.00117,Non classé
M437T1583,0.54762,-0.09243,0.99981,14944.53090,"[-0.40121415814848516, 0.21635792518178218]",0.29097,3.50092,0.99982,13934.80892,"[-3.1278044403354572, 10.129638278756428]",0.84866,21.43386,0.99982,12647.96870,Non classé
M437T1241,0.12053,-0.15743,0.99983,15832.36965,"[-0.3582045104938407, 0.04335049500482316]",0.89996,0.13214,0.99983,14299.66012,"[-1.986487190038896, 2.2507731057938534]",0.67931,-7.50113,0.99983,13031.33954,Non classé
M437T1655,0.92037,0.00575,0.99981,14797.23336,"[-0.11011107782877387, 0.12161348109280261]",0.41567,0.19468,0.99982,13617.64460,"[-0.28510690364990854, 0.6744618077072575]",0.68819,-0.73330,0.99982,12406.16717,Non classé
M437T1762,0.45887,0.04748,0.99982,15023.48705,"[-0.08112417319631937, 0.1760830944015498]",0.64686,0.12730,0.99982,13645.63889,"[-0.43192918256699364, 0.6865241516073785]",0.28682,-2.36153,0.99982,12798.21395,Non classé
M438T1171,0.30224,-0.00522,0.99982,15243.29294,"[-0.015320917844467107, 0.004890449039911118]",0.33807,0.00702,0.99982,14132.29962,"[-0.007650609749365484, 0.021686880005274814]",0.87135,-0.00248,0.99982,12823.32104,Non classé
M438T1476,0.09765,0.31453,0.99983,15981.61753,"[-0.06058133334634874, 0.6896425740804064]",0.11913,-14.37248,0.99984,15480.12187,"[-32.636270151715195, 3.89131663639861]",0.56865,265.31773,0.99984,14172.11574,Non classé
M438T1242,0.03082,-0.12983,0.99984,16869.39239,"[-0.24698329585713402, -0.012682502953772323]",0.46655,0.26570,0.99984,15465.14716,"[-0.4670396589850998, 0.9984415616867615]",0.22724,-4.72292,0.99985,14645.47677,Substrat
M439T2407,0.59998,-0.01699,0.99981,14908.12838,"[-0.08211641578363542, 0.04813517599179544]",0.25554,-0.04341,0.99982,13972.61657,"[-0.11963615076173949, 0.03282612703216499]",0.27909,-0.06352,0.99983,13119.37239,Non classé
M439T2485,0.07242,-0.08404,0.99983,16200.92427,"[-0.17612809827942963, 0.008050120032488589]",0.30355,0.22932,0.99983,15081.55260,"[-0.21651996331356016, 0.6751658251221586]",0.21842,1.81077,0.99984,14306.40545,Non classé
M440T2407,0.45630,-0.06610,0.99982,15026.15124,"[-0.2441204565348734, 0.11191661319795881]",0.37001,-0.49389,0.99982,13884.98217,"[-1.5979610298478535, 0.6101759139428633]",0.45760,-4.32195,0.99982,12798.12548,Non classé
M441T2483,0.00741,-0.00442,0.99985,18104.09517,"[-0.007580309495598136, -0.001262084418936802]",0.83895,0.00002,0.99985,16363.55470,"[-0.00019201686985898932, 0.00023509420612817443]",0.23322,0.00002,0.99985,15479.18529,Substrat
M441T2412,0.98087,-0.00102,0.99981,14793.30755,"[-0.08633449787285476, 0.08430349463958654]",0.87247,0.01289,0.99981,13365.04788,"[-0.14894877047856944, 0.17472973360995667]",0.58905,0.09692,0.99981,12223.66966,Non classé
M442T2482,0.01310,-0.01755,0.99984,17593.71638,"[-0.031180706374771577, -0.003914485952724284]",0.91773,0.00021,0.99984,15888.12983,"[-0.003929194662003164, 0.004353713118727737]",0.05633,0.00220,0.99986,16059.55915,Substrat
M442T2412,0.48656,0.07596,0.99982,14996.19808,"[-0.1431621136896482, 0.2950723190651386]",0.70495,-0.43303,0.99982,13594.61634,"[-2.735789778800571, 1.8697389745872872]",0.93974,-1.31885,0.99982,12327.88856,Non classé
M443T2482,0.03166,-0.06819,0.99984,16847.34144,"[-0.13004294229333752, -0.006331410235781695]",0.60076,0.02853,0.99984,15330.61655,"[-0.08115284115110737, 0.13821837602009196]",0.11513,0.25298,0.99985,14968.79832,Substrat
M443T1172,0.27949,-0.05774,0.99982,15288.58110,"[-0.16438346860992376, 0.04890719050123511]",0.23963,0.53690,0.99983,14366.64043,"[-0.3742309948864936, 1.44803929428774]",0.61346,-1.93007,0.99983,13125.35389,Non classé
M443T1477,0.07762,0.31895,0.99983,16149.26303,"[-0.03714693646147471, 0.675048246694012]",0.63871,-2.73012,0.99983,14672.64904,"[-14.432477703196708, 8.972240774330869]",0.25244,-252.25014,0.99984,13833.61495,Non classé
M444T2482,0.35526,-0.11022,0.99982,15153.52001,"[-0.3489163373326327, 0.1284754909737795]",0.58632,-0.98323,0.99982,13798.19707,"[-4.6174113003252195, 2.6509420893407847]",0.71692,-18.50557,0.99982,12559.55894,Non classé
M444T1171,0.07575,-0.27765,0.99983,16167.39163,"[-0.5855852020039155, 0.030285501296859363]",0.78293,-1.09579,0.99983,14627.70987,"[-9.108558622867662, 6.916981226722065]",0.45707,120.26754,0.99983,13483.23956,Non classé
M445T1443,0.10728,-0.23773,0.99983,15914.42986,"[-0.5296157928737197, 0.05415866410448228]",0.62971,-0.96877,0.99983,14464.33144,"[-5.012060896765098, 3.0745222137651265]",0.33406,27.47053,0.99983,13484.74751,Non classé
