Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M201T1241,0.12031,-0.32324,0.99991,11253.92441,"[-0.7371570096406967, 0.09066855824862669]",0.50912,2.43279,0.99991,10565.74890,"[-5.058928943014116, 9.924501260727716]",0.35589,91.61624,0.99991,10111.87851,Non classé
M203T2482,0.11952,-0.14406,0.99991,11258.64095,"[-0.3281150619402508, 0.03999709617526842]",0.85126,0.16754,0.99991,10391.49807,"[-1.6567491780364223, 1.9918358191290488]",0.32488,11.05166,0.99991,9996.87382,Non classé
M203T1541,0.00327,0.32728,0.99993,14512.29658,"[0.11998852984865097, 0.5345685801262925]",0.00409,-3.89771,0.99995,18989.33092,"[-6.4321391313421845, -1.363281525333028]",0.53800,-13.56239,0.99995,17795.55598,Produit
M203T2326,0.00973,-0.63689,0.99992,13395.54699,"[-1.1054674782791138, -0.1683133890621804]",0.83514,0.77219,0.99992,12368.10529,"[-6.80312531064769, 8.347501948902082]",0.00170,250.76294,0.99995,17645.55409,"Substrat,Recyclé"
M203T1145,0.03839,0.33400,0.99991,12148.07910,"[0.01932172888389777, 0.6486867520111836]",0.84193,-0.86471,0.99991,11214.62925,"[-9.71756232382562, 7.988141219777846]",0.37767,-137.19639,0.99992,10697.61920,Produit
M205T2482,0.31308,-0.14581,0.99990,10630.95362,"[-0.43749594761981164, 0.14587392130586202]",0.28510,2.05479,0.99991,10285.51624,"[-1.8240885643683167, 5.933676159049547]",0.01180,108.17410,0.99993,12560.41109,Recyclé
M205T1543,0.03282,0.31527,0.99992,12281.45063,"[0.027904587881551368, 0.6026306044954732]",0.28680,-5.10375,0.99992,11878.32224,"[-14.773031249775508, 4.565535405985978]",0.72372,-36.05232,0.99992,11006.51330,Produit
M209T2869,0.18828,-0.30086,0.99990,10944.95571,"[-0.7589566589783687, 0.15723453187660436]",0.15932,4.69379,0.99991,10973.61939,"[-1.9758938728668918, 11.363482937456329]",0.89970,-10.52932,0.99991,10119.05007,Non classé
M214T3075,0.25062,-0.25527,0.99990,10762.85753,"[-0.7022663761766319, 0.19173485981926225]",0.98234,0.11266,0.99990,9919.25624,"[-10.283709430528097, 10.509023950192157]",0.00238,483.89717,0.99994,13771.56174,Recyclé
M216T1376,0.48235,-0.17447,0.99990,10406.00444,"[-0.6783064145817237, 0.32937492597085605]",0.67738,2.31365,0.99990,9661.06033,"[-9.024281450690973, 13.65159018108662]",0.03760,303.79625,0.99992,10787.24827,Recyclé
M218T603,0.09181,-0.38824,0.99991,11452.62236,"[-0.8442912587687885, 0.06781907890280864]",0.01436,10.77890,0.99993,13618.92857,"[2.3505487983117614, 19.207255924864995]",0.04364,313.44961,0.99994,15036.66388,"Transitoire,Recyclé"
M221T1541,0.57264,0.10759,0.99990,10331.84723,"[-0.2800135829696075, 0.4951987835149309]",0.03670,-7.81914,0.99992,11464.11265,"[-15.113169204959963, -0.5251079807963164]",0.12192,-140.91637,0.99992,11748.59995,Non classé
M223T1215,0.07825,-0.30159,0.99991,11574.04792,"[-0.639871626711989, 0.03668575657229556]",0.09515,2.93373,0.99992,12008.24734,"[-0.5514401514881704, 6.418900183253937]",0.00732,99.62873,0.99994,15229.34232,Recyclé
M227T486,0.10217,-0.32930,0.99991,11373.03504,"[-0.7290117197201444, 0.07041451829867795]",0.13336,4.71142,0.99992,11535.63193,"[-1.547415875082006, 10.970258918533567]",0.00175,216.91366,0.99995,16422.79517,Recyclé
M227T2483,0.08330,-0.27239,0.99991,11526.16593,"[-0.5833712815258291, 0.03859387715067719]",0.79791,0.39652,0.99991,10652.18896,"[-2.764202264015847, 3.55723491553054]",0.06144,40.79753,0.99992,11465.97160,Non classé
M229T3112,0.06892,-0.16843,0.99991,11672.56840,"[-0.3509181144542701, 0.014065101928787599]",0.74048,0.24206,0.99991,10807.76708,"[-1.2489130401790014, 1.7330266820459421]",0.35754,8.18250,0.99991,10340.81286,Non classé
M231T3109,0.10563,-0.25082,0.99991,11348.50944,"[-0.5584984211366689, 0.056862208727967656]",0.03940,5.12855,0.99992,12527.50449,"[0.27021740283604423, 9.986877245258215]",0.00726,232.70172,0.99994,15899.08448,"Transitoire,Recyclé"
M235T2079,0.00362,-0.48734,0.99993,14404.68254,"[-0.7999405212280136, -0.17474912877324955]",0.06838,4.14452,0.99994,15289.91480,"[-0.3378296012824631, 8.626873027561272]",0.05929,-54.16700,0.99995,16501.21348,Substrat
M235T1457,0.22129,-0.29119,0.99990,10840.50609,"[-0.7692664830850162, 0.18688810178339982]",0.17074,6.23024,0.99991,10820.83543,"[-2.875316084384229, 15.335796157468115]",0.21791,147.29236,0.99992,10666.89959,Non classé
M245T2326,0.02689,-0.11110,0.99992,12454.27809,"[-0.20840313907821278, -0.013789697572328008]",0.58101,0.06032,0.99992,11627.57890,"[-0.16220535357568885, 0.28285342959562065]",0.68051,0.29802,0.99992,10795.54748,Substrat
M245T2482,0.04425,-0.11351,0.99991,12029.41675,"[-0.2238678138469656, -0.003155320156702973]",0.95091,0.01382,0.99991,11088.09846,"[-0.44458236237643023, 0.47221745910055013]",0.00144,3.28254,0.99994,16041.34629,"Substrat,Recyclé"
M245T1541,0.00001,0.16320,0.99995,23146.47910,"[0.10353626595200677, 0.2228633923579108]",0.65808,0.06952,0.99996,21510.30026,"[-0.2506519220667716, 0.38968890097450154]",0.12999,1.22632,0.99996,21946.47444,Produit
M245T1410,0.27099,-0.15928,0.99990,10715.47631,"[-0.4506988945669545, 0.1321394430984097]",0.00078,-2.06339,0.99994,15953.06901,"[-3.1715306573619286, -0.9552556161784538]",0.40041,8.51787,0.99994,15169.53355,Non classé
M245T1144,0.00052,0.21288,0.99994,16657.35925,"[0.102689854972235, 0.32307517436926064]",0.08709,-1.06389,0.99994,17387.15433,"[-2.2947549732152996, 0.16696609766433035]",0.24350,-12.32444,0.99995,17019.95142,Produit
M246T2326,0.11339,-0.38247,0.99991,11296.73639,"[-0.862589093792415, 0.09764131713121094]",0.28197,4.60933,0.99991,10936.63371,"[-4.033912551741951, 13.252580326954346]",0.01145,459.82664,0.99993,13387.44841,Recyclé
M246T2483,0.19635,-0.17361,0.99990,10917.42339,"[-0.44296894861992964, 0.09574614913709911]",0.58203,1.24023,0.99991,10192.03005,"[-3.347275426357009, 5.827729104718579]",0.59494,25.00017,0.99991,9510.41999,Non classé
M246T1541,0.27969,0.22296,0.99990,10696.64849,"[-0.19260486203616795, 0.6385209553273619]",0.01377,-12.23355,0.99992,12759.99092,"[-21.733160922656232, -2.733939948760984]",0.31715,-162.33138,0.99993,12292.59841,Non classé
M249T2327,0.45254,-0.13017,0.99990,10436.08891,"[-0.4814888281810005, 0.22114548067656487]",0.09846,4.08362,0.99991,10802.41656,"[-0.8188972849438168, 8.98613121858305]",0.17909,81.72074,0.99992,10785.40822,Non classé
M252T898,0.29237,-0.21442,0.99990,10670.52266,"[-0.6249739540422239, 0.19613837049942645]",0.39238,2.71345,0.99991,10144.84102,"[-3.7162088690065618, 9.143100619429436]",0.00702,218.78483,0.99993,12909.48315,Recyclé
M253T1870,0.34319,-0.18121,0.99990,10579.39071,"[-0.5674517587887886, 0.20504118560255707]",0.09329,3.78494,0.99991,10991.01558,"[-0.6846752750489249, 8.254550419562625]",0.04627,92.60302,0.99993,12082.13216,Recyclé
M253T2482,0.38942,-0.08702,0.99990,10511.51730,"[-0.29162369207263283, 0.11758820295108297]",0.12851,1.52124,0.99991,10687.93085,"[-0.4730747224641527, 3.51555186834411]",0.01991,43.71939,0.99993,12529.46279,Recyclé
M254T1721,0.52286,-0.16394,0.99990,10369.84676,"[-0.6849695418525423, 0.3570796247901227]",0.67324,2.24396,0.99990,9629.43749,"[-8.604001090579732, 13.091916286747544]",0.00564,401.17566,0.99993,12469.32139,Recyclé
M255T1410,0.68356,0.08302,0.99990,10267.89556,"[-0.3315789141577936, 0.49761979557743197]",0.15188,-6.70074,0.99991,10326.62614,"[-16.04510222935461, 2.6436205751481783]",0.68417,-49.02288,0.99991,9585.94692,Non classé
M265T1303,0.25192,-0.27754,0.99990,10759.69175,"[-0.7649030983178422, 0.2098312723974169]",0.23873,5.35428,0.99991,10519.35635,"[-3.7918297884301904, 14.50038351073965]",0.00091,470.99293,0.99994,15800.45346,Recyclé
M267T2325,0.08522,-0.44710,0.99991,11508.85708,"[-0.960901680505096, 0.06670796459834916]",0.03562,11.47435,0.99992,12797.72222,"[0.8382890411025752, 22.110403040263428]",0.27877,231.81437,0.99993,12423.74410,Transitoire
M269T2484,0.92811,-0.01864,0.99990,10201.89494,"[-0.4397688844323541, 0.4024967227520337]",0.24641,2.53493,0.99990,9955.14137,"[-1.8684927764453256, 6.938349275487786]",0.02532,125.24227,0.99992,11455.62164,Recyclé
M271T2483,0.43374,-0.04859,0.99990,10456.76195,"[-0.17436374232092952, 0.0771873259699499]",0.63443,0.14264,0.99990,9730.10409,"[-0.4685968035924454, 0.7538688324715391]",0.00041,5.29192,0.99994,15621.52684,Recyclé
M272T2482,0.17787,-0.20293,0.99991,10982.67506,"[-0.5043797384196359, 0.09852917644681647]",0.95335,0.16625,0.99991,10123.10698,"[-5.6385293937660546, 5.9710229164119735]",0.61011,42.68101,0.99991,9436.58664,Non classé
M273T2886,0.14804,-0.01566,0.99991,11107.50405,"[-0.03726455671881186, 0.005946869840716299]",0.59996,-0.00416,0.99991,10357.17840,"[-0.020303953916131545, 0.011988029954424412]",0.52874,0.00364,0.99991,9713.65033,Non classé
M273T3019,0.35595,-0.01269,0.99990,10559.40097,"[-0.040478699039452296, 0.015098435262347703]",0.69407,0.00668,0.99990,9795.81571,"[-0.027958899828405145, 0.041322816462007736]",0.59257,-0.01586,0.99990,9142.18662,Non classé
M274T2886,0.06771,-0.13200,0.99991,11686.41776,"[-0.2743562371492354, 0.010355996275427937]",0.89783,-0.04570,0.99991,10777.76058,"[-0.7725840831073622, 0.681176625900327]",0.58967,1.00292,0.99991,10060.62560,Non classé
M274T3019,0.21777,-0.11967,0.99990,10850.68687,"[-0.3146045136090023, 0.07526551523322264]",0.07619,1.54592,0.99992,11431.05423,"[-0.17579558991436017, 3.2676411788660893]",0.85096,-1.47990,0.99992,10549.96113,Non classé
M275T2886,0.25664,-0.24879,0.99990,10748.36477,"[-0.6901458938145889, 0.19257236206347372]",0.94294,0.16870,0.99990,9907.85266,"[-4.644977356860062, 4.982386398689615]",0.04182,88.93329,0.99992,10974.48957,Recyclé
M275T3019,0.55976,-0.12438,0.99990,10341.05830,"[-0.5577296282253614, 0.3089765360304922]",0.46389,-3.05983,0.99990,9750.35278,"[-11.544042214925542, 5.424379670283743]",0.33426,93.54217,0.99991,9364.72085,Non classé
M279T598,0.37788,-0.19366,0.99990,10527.32157,"[-0.63792323558673, 0.25061180857335474]",0.89069,0.70103,0.99990,9709.77934,"[-9.715667836097698, 11.117728863979199]",0.00456,361.79615,0.99993,12789.10040,Recyclé
M285T1272,0.71747,-0.07939,0.99990,10253.14892,"[-0.5261384202672932, 0.3673666719852544]",0.53203,2.19378,0.99990,9607.61065,"[-4.946998768862414, 9.334560583912705]",0.01864,240.29012,0.99992,11320.63825,Recyclé
M287T1544,0.00461,0.29543,0.99993,14149.35641,"[0.09990526627617388, 0.4909493626549166]",0.36367,-2.21322,0.99993,13505.97341,"[-7.146130810176495, 2.7196970553606343]",0.55734,-24.39373,0.99993,12637.29520,Produit
