Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M549T3019,0.69353,577.69280,0.99757,464.49140,"[-2402.3113687568984, 3557.6969757103216]",0.87217,3514.55291,0.99757,428.47044,"[-41012.89380195611, 48041.999628081416]",0.32999,-378137.87265,0.99767,411.18461,Non classé
M550T3018,0.01394,-5541.55203,0.99807,585.39395,"[-9861.986933352939, -1221.1171172161703]",0.08278,92454.61176,0.99830,610.03393,"[-12907.610864559, 197816.8343896147]",0.45598,1780423.93495,0.99834,575.68065,Substrat
M551T1670,0.00816,-3958.22329,0.99814,607.67704,"[-6799.003586494024, -1117.4429865906118]",0.75178,3904.21071,0.99815,562.25366,"[-21239.97384669941, 29048.39526951203]",0.12882,365870.96541,0.99832,571.68999,Substrat
M551T1825,0.13321,-2573.09493,0.99776,504.43358,"[-5985.22281307155, 839.0329595356689]",0.63903,16540.52389,0.99778,469.02409,"[-55202.225400485295, 88283.27317073668]",0.89444,-103539.85374,0.99779,432.57723,Non classé
M553T2407,0.02473,-3571.10815,0.99800,562.79768,"[-6650.67027515727, -491.5460302942488]",0.07608,-42755.83423,0.99824,589.78645,"[-90339.86392879326, 4828.195461551135]",0.75851,-139487.46891,0.99824,545.74116,Substrat
M553T1566,0.11889,-2618.38759,0.99778,507.95798,"[-5955.787693635873, 719.0125218573417]",0.42455,26403.58183,0.99784,480.43745,"[-40579.53730959589, 93386.70097083358]",0.61231,-406075.10082,0.99786,447.64603,Non classé
M555T2483,0.23727,-672.95407,0.99769,487.71402,"[-1816.4164503834543, 470.5083153755256]",0.84639,751.01006,0.99769,450.10641,"[-7150.438548038737, 8652.4586647478]",0.50003,-12938.51635,0.99774,422.94209,Non classé
M556T2483,0.05779,-2801.09256,0.99788,531.79882,"[-5701.743684459971, 99.55857128587695]",0.56938,12112.49868,0.99791,496.56907,"[-31153.88861194456, 55378.8859704827]",0.42497,416945.26144,0.99796,470.22598,Non classé
M557T2483,0.01879,-2816.83945,0.99803,573.47064,"[-5127.10530633897, -506.57360279806335]",0.19456,23018.24438,0.99816,566.06982,"[-12546.702353872832, 58583.19111753457]",0.75338,144655.96995,0.99817,523.88938,Substrat
M557T1822,0.00568,-3339.21376,0.99819,623.40100,"[-5616.263657978438, -1062.1638520443262]",0.46237,8991.29309,0.99823,587.27344,"[-15817.48603100433, 33800.07220415809]",0.00296,689095.36675,0.99878,788.34670,"Substrat,Recyclé"
M558T497,0.00200,-6409.04427,0.99832,671.77834,"[-10243.450478810242, -2574.6380682008526]",0.09226,77564.91229,0.99850,695.04715,"[-13682.218106065833, 168812.0426787883]",0.19474,1568689.13295,0.99861,688.11959,Substrat
M559T1261,0.01523,-4601.61333,0.99806,581.82084,"[-8242.183411231741, -961.0432463222633]",0.46278,-18758.07063,0.99810,548.08245,"[-70563.05225020926, 33046.91099351396]",0.29896,654006.48279,0.99819,528.87893,Substrat
M559T1410,0.00894,-4312.48408,0.99813,603.80963,"[-7449.3356042355435, -1175.632557488153]",0.00337,-54967.34794,0.99868,790.45086,"[-89908.9521301247, -20025.743745075037]",0.76771,-119506.82731,0.99869,731.19202,Substrat
M561T2482,0.14282,-1487.47490,0.99775,502.30957,"[-3510.8683659463572, 535.9185691813659]",0.80964,-2543.07267,0.99776,463.96520,"[-24056.711705103306, 18970.566366977255]",0.06352,198204.19417,0.99807,495.17350,Non classé
M562T2483,0.01766,-2503.66642,0.99804,575.91834,"[-4534.964823256752, -472.36800903538506]",0.05558,-15670.47820,0.99831,616.44048,"[-31744.400850215832, 403.4444467228859]",0.21063,-201567.76924,0.99842,607.34002,Substrat
M563T1565,0.20293,328.00261,0.99771,492.03403,"[-188.16875557330025, 844.1739665434221]",0.69656,-75.58906,0.99772,456.22564,"[-470.21665173689286, 319.03852470689986]",0.20748,477.69403,0.99787,449.92610,Non classé
M564T1565,0.61122,439.66709,0.99758,466.37750,"[-1316.7718585653413, 2196.106030156273]",0.70583,819.62084,0.99760,432.26698,"[-3601.4994009806996, 5240.741079020112]",0.93602,1302.12520,0.99760,398.48676,Non classé
M565T1373,0.03868,-3042.75314,0.99793,546.08753,"[-5914.653069497397, -170.85320812808095]",0.28619,25253.25660,0.99803,527.16159,"[-22470.270176897124, 72976.78338669479]",0.93467,35762.88465,0.99803,485.97129,Substrat
M565T1565,0.09897,-2407.02708,0.99780,513.78072,"[-5298.562107184365, 484.5079538218238]",0.78928,-5283.45080,0.99781,474.82062,"[-45566.487311929566, 34999.58570716645]",0.70449,131137.91211,0.99782,440.28658,Non classé
M565T1372,0.29017,-1847.77295,0.99766,482.41686,"[-5365.420634679458, 1669.8747372237758]",0.89525,2534.35449,0.99766,444.85007,"[-36709.03596852267, 41777.74494747547]",0.94801,-33848.83675,0.99766,410.04818,Non classé
M567T2886,0.01646,44.34990,0.99805,578.72483,"[8.801470180885211, 79.89832690000841]",0.00009,-9.51503,0.99896,997.85706,"[-13.718251043041839, -5.311802976813847]",0.72919,0.08832,0.99896,924.33128,Produit
M568T2886,0.03062,137.99522,0.99797,554.71611,"[13.934295666139477, 262.05613758815184]",0.00125,-107.58712,0.99867,782.40474,"[-168.48412558340084, -46.69011082952973]",0.14238,20.81562,0.99879,790.27823,Produit
M569T2886,0.01439,771.09319,0.99807,584.10995,"[166.77154971132438, 1375.4148268760036]",0.05782,-1204.53064,0.99833,623.53168,"[-2452.1415667451, 43.080287782998084]",0.09761,2177.46975,0.99852,645.91249,Produit
M570T2886,0.33484,1587.24677,0.99764,478.85266,"[-1732.9861194663592, 4907.479661602922]",0.05970,24743.92061,0.99796,510.09147,"[-1090.537916067984, 50578.37913721621]",0.77057,-67850.71674,0.99797,471.80784,Non classé
M571T2482,0.18271,-1507.85080,0.99772,495.02465,"[-3771.8677073858057, 756.1661007944754]",0.71281,5875.60620,0.99773,458.68737,"[-26627.62297204706, 38378.83537977417]",0.66726,-119012.93267,0.99775,426.07079,Non classé
M571T3019,0.42287,-1361.78846,0.99762,473.46806,"[-4799.308040128237, 2075.7311217956253]",0.09330,48668.24188,0.99788,489.54642,"[-8777.652356659979, 106114.13611461774]",0.23769,933968.77660,0.99800,478.79259,Non classé
M571T2707,0.00944,-1948.21773,0.99812,601.52145,"[-3376.874618507066, -519.5608471268142]",0.70208,-1429.35374,0.99814,557.61218,"[-9037.523434449002, 6178.815952231401]",0.83782,-6981.94100,0.99814,514.81381,Substrat
M572T2482,0.07009,-2465.14692,0.99785,525.18292,"[-5147.565066969627, 217.27123622086674]",0.43110,-20909.29491,0.99791,496.36628,"[-74721.15331973386, 32902.56349126425]",0.76958,232362.55511,0.99791,459.12755,Non classé
M572T3018,0.06929,-4021.23605,0.99785,525.56948,"[-8383.638471501738, 341.1663683711122]",0.89725,-6316.21190,0.99786,484.62923,"[-106027.18678653718, 93394.76297948157]",0.17571,1994144.56572,0.99802,482.94224,Non classé
M572T2707,0.00375,-4743.70362,0.99824,642.14707,"[-7805.893984346279, -1681.5132463758719]",0.40039,-16227.87895,0.99829,609.07638,"[-55293.850479576875, 22838.09258298546]",0.71531,155228.20350,0.99830,564.51614,Substrat
M573T916,0.11129,275.54547,0.99779,510.03405,"[-68.04523142074635, 619.1361722082634]",0.70832,230.28852,0.99780,472.68124,"[-1023.077764154254, 1483.6548053218871]",0.00296,-6761.86282,0.99849,634.58578,Non classé
M573T523,0.41772,412.18965,0.99762,473.73572,"[-616.6869401099658, 1441.066245372731]",0.38440,3318.97012,0.99769,450.25526,"[-4401.6896882391775, 11039.629932814267]",0.02450,-100784.16174,0.99814,514.78673,Non classé
M574T916,0.30543,599.86702,0.99766,481.12059,"[-579.543709408568, 1779.2777585494525]",0.32945,5565.52159,0.99775,460.92476,"[-5958.906092833977, 17089.9492795657]",0.00104,-227256.44729,0.99857,671.75649,Non classé
M574T522,0.71474,-478.16676,0.99757,464.09547,"[-3138.1044707055516, 2181.7709499660523]",0.37005,25634.29390,0.99765,441.94082,"[-32201.665822334966, 83470.25362157743]",0.64480,-395952.84508,0.99767,411.00048,Non classé
M575T564,0.48436,-739.98005,0.99760,470.62419,"[-2883.9509246139764, 1403.9908267972964]",0.97967,613.19169,0.99760,433.67964,"[-48458.62616241643, 49685.009534886005]",0.81946,142196.40418,0.99761,400.56804,Non classé
M575T2886,0.29922,1463.53247,0.99766,481.63692,"[-1376.5094311099301, 4303.574370182136]",0.02474,68257.70664,0.99809,545.40488,"[9422.232843978352, 127093.18044162629]",0.28005,-839370.70222,0.99819,528.27388,Transitoire
M575T1410,0.31518,-670.86353,0.99765,480.33667,"[-2017.266040024141, 675.5389735061406]",0.14586,-4296.16988,0.99785,482.60566,"[-10190.615172726157, 1598.2754180085876]",0.85743,5705.17380,0.99785,445.38179,Non classé
M575T1808,0.00078,-3426.46329,0.99843,719.32594,"[-5277.663703133681, -1575.2628689096402]",0.65006,-3303.41744,0.99844,668.43984,"[-18119.6184198536, 11512.783538012975]",0.20036,205991.49134,0.99855,660.60664,Substrat
M575T2981,0.84138,238.22483,0.99756,462.39238,"[-2184.2460232072467, 2660.6956832929905]",0.02256,57748.50888,0.99803,527.05090,"[8824.097303057235, 106672.92044728398]",0.06364,-753919.63371,0.99830,562.41148,Transitoire
M576T1411,0.29216,-1555.19137,0.99766,482.24289,"[-4528.333991212441, 1417.9512418458266]",0.12674,-34545.98500,0.99787,488.83656,"[-79584.6458435921, 10492.675850454521]",0.98059,-13571.43846,0.99787,450.52314,Non classé
M576T1997,0.00236,-2331.07510,0.99830,663.74499,"[-3753.16243183168, -908.9877712636053]",0.86857,-712.58933,0.99830,612.30894,"[-9491.130150575547, 8065.951489920852]",0.88287,-12398.21726,0.99830,564.82620,Substrat
M576T1525,0.00520,-1245.87022,0.99820,627.35107,"[-2085.2557690083177, -406.48467429891934]",0.81409,354.96026,0.99821,579.39619,"[-2721.270588805183, 3431.191100736422]",0.61692,-5791.95177,0.99822,539.69623,Substrat
M577T2483,0.15308,-959.98533,0.99775,500.22310,"[-2300.707349692566, 380.7366859966776]",0.03498,-13622.32760,0.99812,552.81531,"[-26204.974830557338, -1039.6803688898563]",0.51153,47634.73782,0.99815,518.91851,Non classé
M577T1410,0.07411,-41.97617,0.99784,523.30225,"[-88.3435961320765, 4.391259677782294]",0.03981,-4.37182,0.99819,573.13515,"[-8.523332421555953, -0.22031355460100244]",0.52126,-0.61451,0.99822,537.54420,Non classé
M577T999,0.96021,2.29995,0.99756,461.71022,"[-91.55986744013416, 96.15975927122275]",0.00895,-95.83562,0.99815,562.51334,"[-165.4710353305337, -26.200207758148323]",0.64786,-21.24753,0.99817,523.04225,Non classé
M577T2599,0.79314,-67.96464,0.99756,462.91459,"[-595.246631653107, 459.3173583293044]",0.15031,-1132.10042,0.99776,464.23206,"[-2703.257044054224, 439.0561969818939]",0.88900,-792.56543,0.99776,428.19179,Non classé
M578T1410,0.06993,-140.12052,0.99785,525.26167,"[-292.4964577302136, 12.255409905236661]",0.04103,-48.64295,0.99819,574.08135,"[-95.14105815570385, -2.144845632414089]",0.54863,-21.55940,0.99822,537.24833,Non classé
M578T999,0.93045,-13.49473,0.99756,461.80330,"[-328.2596409636106, 301.2701808198697]",0.01221,-983.71823,0.99811,550.07209,"[-1733.665767546566, -233.77069601957305]",0.60129,-713.74150,0.99813,512.88093,Non classé
M579T1541,0.00081,-516.31285,0.99843,717.18488,"[-796.4251844896803, -236.20051557267402]",0.23274,-209.85777,0.99852,700.46845,"[-563.261624150357, 143.54607470265017]",0.00058,1111.02464,0.99910,1068.98532,"Substrat,Recyclé"
M579T1410,0.01090,-847.47825,0.99811,595.52189,"[-1482.7212585645061, -212.23524865858735]",0.09685,-673.96386,0.99831,614.20863,"[-1478.568296364951, 130.64057530808395]",0.50976,-1414.27236,0.99834,576.63459,Substrat
M579T999,0.23807,-794.50884,0.99769,487.62273,"[-2146.8850295137454, 557.8673398716728]",0.12148,-11698.81797,0.99790,495.62838,"[-26728.64839520565, 3331.0124588915332]",0.58965,70257.42791,0.99793,462.47082,Non classé
M580T1541,0.02247,-1281.44513,0.99801,566.48588,"[-2366.89018271668, -196.00006760628435]",0.03014,-7291.17509,0.99836,632.58500,"[-13822.822752836531, -759.5274370325105]",0.02521,55072.69774,0.99867,721.63207,"Substrat,Recyclé"
M580T1410,0.00371,-3964.86695,0.99824,642.55847,"[-6521.3848769083215, -1408.34902557928]",0.04093,-27483.53753,0.99852,702.35670,"[-53740.95286208618, -1226.1221984714539]",0.34828,237436.90567,0.99857,672.01128,Substrat
