Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M599T1000,0.00004,0.17544,0.99995,21496.96089,"[0.10295248889772446, 0.2479228959113986]",0.36619,-0.24938,0.99995,20480.08562,"[-0.8074387836662431, 0.3086798055524904]",0.68526,1.27452,0.99995,19006.81756,Produit
M599T541,0.38898,0.04571,0.99990,11337.59208,"[-0.06152506390266198, 0.15293537844824778]",0.07841,0.55332,0.99991,11854.78353,"[-0.06766145653891176, 1.1743072999665451]",0.00722,-6.03802,0.99994,14850.27254,Non classé
M600T1410,0.19098,0.11529,0.99990,11776.10137,"[-0.06120998437137454, 0.2917975296504532]",0.00014,-1.24703,0.99995,19576.45826,"[-1.819895159775211, -0.6741596461066622]",0.95352,-0.22163,0.99995,18044.27243,Non classé
M600T999,0.00461,0.35034,0.99993,15082.38322,"[0.1180139239671941, 0.5826599366850608]",0.60284,-1.19179,0.99993,14052.43686,"[-5.849363037833978, 3.4657775960277455]",0.14710,-79.46184,0.99993,14162.13263,Produit
M601T1410,0.99083,0.00215,0.99990,11012.48858,"[-0.3790701264837131, 0.38337527593472154]",0.01244,-5.16821,0.99992,13093.47289,"[-9.119590408790945, -1.2168279476003478]",0.39201,-43.73234,0.99992,12449.02832,Non classé
M603T2886,0.19180,-0.01473,0.99990,11773.17069,"[-0.037335100838632326, 0.007866037318520574]",0.73329,0.00991,0.99990,10900.20479,"[-0.04934307000942182, 0.06917171029867605]",0.79145,0.01673,0.99990,10075.55817,Non classé
M603T1823,0.59945,-0.04962,0.99990,11132.18389,"[-0.24144248633960622, 0.14220540964563502]",0.31193,1.11841,0.99990,10695.10382,"[-1.113487030879916, 3.350314148923648]",0.00069,62.08783,0.99994,16085.79562,Recyclé
M604T2886,0.17837,-0.04927,0.99990,11822.85497,"[-0.12249076158168967, 0.023949845785346258]",0.20837,0.46842,0.99991,11621.29197,"[-0.2786141683164324, 1.2154497900284302]",0.46447,1.48051,0.99991,10956.81017,Non classé
M605T2887,0.14743,-0.04461,0.99991,11956.86008,"[-0.10603281304845033, 0.016803160522447576]",0.98677,0.00321,0.99991,11018.06360,"[-0.3916708122921173, 0.3980928677755793]",0.61788,0.32750,0.99991,10262.33267,Non classé
M605T2555,0.76874,-0.01558,0.99990,11049.82654,"[-0.12336423905153916, 0.09220462805883102]",0.42686,-0.46613,0.99990,10447.89235,"[-1.654656342431069, 0.722387864090368]",0.84213,-1.32781,0.99990,9645.04361,Non classé
