Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M663T1055,0.77594,0.00000,0.77003,3.78520,"[-2.3373313791995698e-05, 3.0977456048389494e-05]",0.02244,-0.00000,0.81407,4.56083,"[-1.9863834804612834e-08, -1.6528267195431753e-09]",0.65387,0.00000,0.81565,4.24762,Non classé
M664T1200,0.42613,0.00001,0.74961,3.38429,"[-1.1465252396845738e-05, 2.6332361564422233e-05]",0.04057,-0.00000,0.78899,3.89485,"[-1.3244999678738671e-08, -3.1498000881659315e-10]",0.46691,0.00000,0.79369,3.69309,Non classé
M664T1056,0.85208,0.00000,0.74667,3.33195,"[-7.6067408762899165e-06, 9.141258436381932e-06]",0.04591,-0.00000,0.78468,3.79620,"[-5.81132861276705e-09, -5.760687471199226e-11]",0.91000,-0.00000,0.78480,3.50100,Non classé
M665T2886,0.93642,-0.00000,0.84593,6.20653,"[-1.0636332140977984e-05, 9.834201897609292e-06]",0.17951,-0.00000,0.85685,6.23489,"[-6.141516128202344e-09, 1.2112988126117227e-09]",0.95271,0.00000,0.85687,5.74708,Non classé
M665T1197,0.63660,0.00000,0.71804,2.87877,"[-7.267385860060439e-06, 1.1672291057632022e-05]",0.23259,-0.00000,0.73397,2.87388,"[-5.4637990899016374e-09, 1.3916296885469524e-09]",0.36375,0.00000,0.74314,2.77745,Non classé
M666T1410,0.37674,-0.00000,0.75522,3.48776,"[-1.0576952814734916e-05, 4.138672617659209e-06]",0.09559,0.00000,0.78145,3.72454,"[-4.1196040587433687e-10, 4.7695618549912765e-09]",0.42680,-0.00000,0.78724,3.55215,Non classé
M667T1411,0.00014,-0.00002,0.88197,8.44698,"[-3.435188581156277e-05, -1.264526508951891e-05]",0.00046,0.00000,0.92847,13.52142,"[3.014632561920605e-09, 9.31141655159176e-09]",0.73442,-0.00000,0.92882,12.52722,"Substrat,Transitoire"
M668T1411,0.02509,-0.00001,0.80821,4.76357,"[-1.4324853045761504e-05, -1.0393992085469277e-06]",0.06797,0.00000,0.83258,5.18018,"[-1.7044883910555737e-10, 4.454971852864883e-09]",0.53388,-0.00000,0.83531,4.86923,Substrat
M671T2886,0.09173,0.00001,0.83129,5.57017,"[-1.207710233979102e-06, 1.5099783809961955e-05]",0.04985,-0.00000,0.85579,6.18181,"[-5.620165401438528e-09, -1.9245112363611776e-12]",0.54759,0.00000,0.85800,5.80037,Non classé
M673T2886,0.98872,0.00000,0.81377,4.93958,"[-7.815954456310146e-06, 7.925289115348893e-06]",0.97884,0.00000,0.81377,4.55185,"[-2.8947122502550956e-09, 2.9709952466973887e-09]",0.27091,-0.00000,0.82313,4.46777,Non classé
M675T1582,0.82122,-0.00002,0.82417,5.29869,"[-0.00015562154085040845, 0.00012451141036625763]",0.01273,-0.00000,0.86350,6.58949,"[-1.0591579249358404e-07, -1.3939866963888284e-08]",0.62396,-0.00000,0.86489,6.14515,Non classé
M675T1402,0.87118,0.00000,0.86217,7.07133,"[-1.4595934607964207e-05, 1.7123036615008543e-05]",0.01363,0.00000,0.89247,8.64561,"[1.5069854724441283e-09, 1.1947000153945414e-08]",0.31530,-0.00000,0.89699,8.35909,Transitoire
M676T1582,0.82489,0.00001,0.78199,4.05486,"[-5.449232390832851e-05, 6.778862765446004e-05]",0.01497,-0.00000,0.82876,5.04154,"[-4.581139988030235e-08, -5.4274515086534635e-09]",0.88058,-0.00000,0.82893,4.65167,Non classé
M676T1409,0.00146,-0.00002,0.83346,5.65744,"[-3.5153330121851026e-05, -9.408153778567009e-06]",0.00055,0.00000,0.89760,9.13037,"[3.465169640079738e-09, 1.0988116975542072e-08]",0.71432,-0.00000,0.89818,8.46814,"Substrat,Transitoire"
M677T1582,0.34857,0.00000,0.89560,9.69730,"[-4.304869835945964e-06, 1.1770430924007902e-05]",0.01052,-0.00000,0.92006,11.98896,"[-6.140579927308635e-09, -8.988502017267806e-10]",0.24046,-0.00000,0.92461,11.77398,Non classé
M677T1410,0.12808,-0.00001,0.79628,4.41839,"[-1.3019599359911821e-05, 1.7361121764591227e-06]",0.12693,0.00000,0.81475,4.58130,"[-6.118300990533521e-10, 4.631502546554157e-09]",0.57222,-0.00000,0.81724,4.29293,Non classé
M678T1411,0.10548,-0.00000,0.83995,5.93251,"[-1.0824824825202656e-05, 1.0969594292918358e-06]",0.12172,0.00000,0.85485,6.13476,"[-4.699609053287616e-10, 3.760712012167287e-09]",0.91095,-0.00000,0.85493,5.65731,Non classé
M679T1200,0.35286,0.00000,0.74580,3.31656,"[-4.80886809543768e-06, 1.3009166751670616e-05]",0.11932,-0.00000,0.76976,3.48253,"[-5.633861055766136e-09, 6.851843054407739e-10]",0.70275,0.00000,0.77118,3.23541,Non classé
M680T1045,0.00270,-0.00003,0.55829,1.42876,"[-5.667334478607086e-05, -1.3292879248555762e-05]",0.00004,0.00000,0.77833,3.65754,"[8.123843892680436e-09, 1.9575368960854296e-08]",0.44787,0.00000,0.78370,3.47823,"Substrat,Transitoire"
M681T2886,0.44082,-0.00000,0.88622,8.80481,"[-1.1291974890268894e-05, 5.063481876388598e-06]",0.43702,0.00000,0.88899,8.34189,"[-1.8555770995976064e-09, 4.164434970168998e-09]",0.08325,-0.00000,0.90229,8.86501,Non classé
M681T1045,0.00789,-0.00001,0.75581,3.49882,"[-1.861046691473047e-05, -3.1038075634946616e-06]",0.00014,0.00000,0.86477,6.66133,"[2.5354365147216247e-09, 6.835482244825206e-09]",0.90088,-0.00000,0.86486,6.14377,"Substrat,Transitoire"
M682T1044,0.01707,-0.00001,0.75151,3.41880,"[-1.761615041491449e-05, -1.886353398388534e-06]",0.00252,0.00000,0.82873,5.04027,"[1.5331182308618187e-09, 6.399437120455406e-09]",0.82145,0.00000,0.82910,4.65727,"Substrat,Transitoire"
M683T1410,0.02356,-0.00001,0.80843,4.77040,"[-1.572811386201532e-05, -1.2336640730605986e-06]",0.02793,0.00000,0.84270,5.58066,"[3.261254134204208e-10, 5.2203363361975066e-09]",0.93058,0.00000,0.84275,5.14510,"Substrat,Transitoire"
M683T2887,0.10910,0.00001,0.87135,7.65623,"[-1.4915491387442355e-06, 1.3978456204639323e-05]",0.69450,0.00000,0.87215,7.10615,"[-2.3189918482980687e-09, 3.4276109856756677e-09]",0.59023,-0.00000,0.87372,6.64224,Non classé
M684T1411,0.01791,-0.00001,0.81721,5.05398,"[-1.4379678891709263e-05, -1.4801681118922008e-06]",0.01626,0.00000,0.85557,6.17063,"[5.365185790338493e-10, 4.809342560201057e-09]",0.14279,-0.00000,0.86818,6.32267,"Substrat,Transitoire"
M685T1199,0.26319,0.00000,0.84745,6.27975,"[-2.297227169555444e-06, 8.059443843713944e-06]",0.23076,-0.00000,0.85613,6.19873,"[-2.991556576211671e-09, 7.562986505030083e-10]",0.72847,0.00000,0.85687,5.74705,Non classé
M687T2887,0.19546,0.00001,0.87963,8.26097,"[-3.0169386324596427e-06, 1.4049375802033295e-05]",0.07090,-0.00000,0.89463,8.84420,"[-5.700171513291396e-09, 2.4996343458791923e-10]",0.39598,-0.00000,0.89781,8.43440,Non classé
M688T2886,0.27950,-0.00000,0.90929,11.33124,"[-9.958109148683849e-06, 2.997043571525433e-06]",0.49780,-0.00000,0.91097,10.65885,"[-3.190054069058735e-09, 1.5924725369036784e-09]",0.61648,-0.00000,0.91192,9.93889,Non classé
M689T2882,0.79736,0.00000,0.75536,3.49032,"[-9.65991524010448e-06, 1.2450229956875498e-05]",0.16390,-0.00000,0.77396,3.56658,"[-6.717422780833072e-09, 1.2022898331139494e-09]",0.66601,-0.00000,0.77574,3.32075,Non classé
M691T1410,0.00149,-0.00001,0.87964,8.26153,"[-1.903850358966786e-05, -5.077466176980836e-06]",0.00236,0.00000,0.91744,11.57586,"[1.3848835489468322e-09, 5.693501948564263e-09]",0.19733,-0.00000,0.92308,11.52020,"Substrat,Transitoire"
M693T2887,0.72340,0.00000,0.82497,5.32804,"[-7.416972369091854e-06, 1.0542977930444184e-05]",0.22594,-0.00000,0.83513,5.27658,"[-5.2054018600813605e-09, 1.2899257629741213e-09]",0.97905,-0.00000,0.83514,4.86307,Non classé
M695T1807,0.00010,-0.00002,0.86876,7.48291,"[-2.8094448229435687e-05, -1.0738994336845691e-05]",0.01041,0.00000,0.89958,9.33171,"[9.760609954157513e-10, 6.633123461190079e-09]",0.64270,-0.00000,0.90050,8.68805,"Substrat,Transitoire"
M697T2887,0.90911,0.00000,0.83741,5.82206,"[-9.162123976631319e-06, 1.0250795387106171e-05]",0.06904,0.00000,0.85792,6.28987,"[-2.6210650440353834e-10, 6.500169664712681e-09]",0.41674,-0.00000,0.86185,5.98899,Non classé
M697T1401,0.02934,0.00002,0.88408,8.62106,"[1.7257544793214645e-06, 3.0057299473725688e-05]",0.17530,0.00000,0.89245,8.64350,"[-1.6407320782331291e-09, 8.528349480143453e-09]",0.00690,-0.00000,0.92115,11.21458,Produit
M697T1582,0.93357,0.00001,0.79231,4.31238,"[-0.0001254393949886346, 0.00013615047142875219]",0.01450,-0.00000,0.83724,5.35831,"[-9.818203525381602e-08, -1.1889584250934274e-08]",0.79879,-0.00000,0.83769,4.95455,Non classé
M698T1410,0.03383,-0.00001,0.79887,4.48987,"[-1.4292566431567362e-05, -6.152405942515765e-07]",0.00680,0.00000,0.85081,5.94069,"[9.494232561845503e-10, 5.3388660125161966e-09]",0.82575,-0.00000,0.85112,5.48822,"Substrat,Transitoire"
M698T1582,0.69089,-0.00001,0.75904,3.56091,"[-6.020413010779045e-05, 4.0503365313411074e-05]",0.01689,-0.00000,0.80909,4.41471,"[-3.74632629304198e-08, -4.060087986652838e-09]",0.87330,0.00000,0.80930,4.07404,Non classé
M699T1201,0.55107,0.00000,0.69016,2.51806,"[-6.028673062779827e-06, 1.104605332968334e-05]",0.16974,-0.00000,0.71310,2.58914,"[-5.162855394900807e-09, 9.597745542981844e-10]",0.53039,0.00000,0.71787,2.44266,Non classé
